Order_Date,Customer_ID,Country,Product_Category,Sales_Amount,Profit_Margin,Shipping_Cost,Unused_Internal_Code,Order_Status
2025-04-08,CUS-1022,France,Fashion,1089.27,0.05,69.99,TXN-554,Returned
2024-09-27,CUS-1009,Germany,Sports,682.45,0.29,24.64,TXN-203,Cancelled
2024-07-08,CUS-1068,Germany,Beauty,699.35,0.23,60.86,TXN-176,Returned
2025-03-21,CUS-1099,,Sports,1355.5,0.13,79.45,TXN-329,
2024-06-23,CUS-1033,UK,Beauty,1988.57,0.26,54.9,TXN-357,Delivered
2025-03-21,CUS-1051,,Sports,,0.12,11.09,TXN-363,Returned
2024-02-20,CUS-1094,Canada,Sports,1137.68,0.27,10.81,TXN-430,Returned
2024-12-29,CUS-1009,USA,Electronics,1474.77,0.08,42.13,TXN-281,
2024-02-24,CUS-1018,France,Fashion,957.15,0.23,93.36,TXN-992,Delivered
2024-08-31,CUS-1057,UK,Sports,167.28,0.19,30.58,TXN-867,Delivered
2024-11-15,CUS-1095,USA,Sports,1146.48,0.07,67.09,TXN-649,
2024-05-10,CUS-1000,UK,Home Decor,1917.37,0.11,29.99,TXN-787,Cancelled
2025-04-29,CUS-1068,,Fashion,391.84,0.05,38.95,TXN-126,Returned
2024-11-02,CUS-1003,Germany,Home Decor,,0.17,86.32,TXN-375,Cancelled
2024-05-14,CUS-1015,France,Fashion,441.82,0.13,75.6,TXN-751,Returned
2024-01-21,CUS-1023,,Home Decor,1094.86,0.2,18.59,TXN-398,Returned
2024-11-24,CUS-1079,USA,Sports,238.52,0.12,48.58,TXN-898,Cancelled
2024-06-15,CUS-1001,USA,Sports,928.22,0.12,12.63,TXN-190,
2024-09-30,CUS-1091,USA,Electronics,1524.52,0.24,53.28,TXN-579,
2025-01-22,CUS-1031,USA,Home Decor,,0.06,69.62,TXN-672,Returned
2024-03-29,CUS-1090,USA,,1346.58,0.28,20.67,TXN-557,
2024-11-11,CUS-1083,UK,Electronics,1601.13,0.26,36.0,TXN-550,Returned
2024-01-14,CUS-1023,,Home Decor,1858.0,0.22,45.81,TXN-464,
2024-08-29,CUS-1011,France,Home Decor,507.55,0.2,92.76,TXN-958,Returned
2024-09-21,CUS-1049,Germany,Electronics,828.67,0.27,99.39,TXN-774,
2024-12-11,CUS-1034,Germany,Sports,347.21,0.1,14.04,TXN-450,Delivered
2024-02-22,CUS-1032,,Home Decor,1985.34,0.07,78.49,TXN-754,Cancelled
2025-01-20,CUS-1032,,Sports,1857.65,0.11,43.46,TXN-499,Delivered
2024-12-05,CUS-1060,Germany,Electronics,1102.92,0.25,45.32,TXN-352,Cancelled
2024-04-01,CUS-1050,Germany,Sports,1691.96,0.06,77.88,TXN-880,Cancelled
2025-01-01,CUS-1042,UK,Fashion,1065.87,0.2,92.66,TXN-980,Returned
2025-03-19,CUS-1011,Canada,Beauty,1265.99,0.3,95.58,TXN-902,Cancelled
2025-03-30,CUS-1066,France,Home Decor,223.79,0.26,61.94,TXN-558,Delivered
2025-03-03,CUS-1064,USA,Beauty,1522.78,0.18,42.14,TXN-798,Delivered
2024-09-20,CUS-1032,Canada,Sports,299.04,0.07,80.88,TXN-598,
2025-03-06,CUS-1039,,Home Decor,1660.83,0.26,32.59,TXN-607,Delivered
2024-02-04,CUS-1073,Germany,Sports,1574.95,0.2,60.77,TXN-403,
2024-07-24,CUS-1042,Canada,Fashion,1432.05,0.08,42.27,TXN-600,Cancelled
2024-03-21,CUS-1043,France,Electronics,120.51,0.07,69.1,TXN-902,Delivered
2025-02-23,CUS-1028,,Home Decor,641.1,0.28,31.64,TXN-697,Cancelled
2024-02-19,CUS-1012,USA,,,0.22,27.24,TXN-265,Delivered
2024-12-25,CUS-1011,USA,Fashion,752.27,0.26,92.64,TXN-514,Delivered
2025-01-22,CUS-1094,France,Home Decor,220.9,0.27,19.16,TXN-561,
2024-01-02,CUS-1045,France,Sports,,0.19,55.54,TXN-213,Cancelled
2025-01-24,CUS-1001,Germany,Fashion,1129.91,0.18,29.88,TXN-532,Delivered
2024-02-23,CUS-1034,USA,Beauty,,0.16,13.5,TXN-455,Returned
2024-04-15,CUS-1086,,Fashion,824.11,0.13,13.24,TXN-794,Cancelled
2024-09-16,CUS-1080,Canada,Sports,922.04,0.16,25.77,TXN-306,Cancelled
2024-11-05,CUS-1089,,Sports,1221.16,0.24,88.01,TXN-867,Cancelled
2025-04-21,CUS-1007,UK,Beauty,1055.57,0.2,35.42,TXN-334,
2024-07-09,CUS-1092,UK,Fashion,1842.81,0.27,95.54,TXN-541,Returned
2025-02-05,CUS-1025,France,Sports,1019.08,0.16,62.35,TXN-454,Cancelled
2024-08-05,CUS-1073,Germany,Home Decor,1984.71,0.2,49.3,TXN-614,Delivered
2024-02-13,CUS-1089,UK,Electronics,1710.28,0.21,62.21,TXN-307,Delivered
2024-06-10,CUS-1033,USA,Electronics,456.6,0.2,56.5,TXN-808,
2024-07-20,CUS-1006,,Electronics,1864.66,0.23,78.29,TXN-952,Delivered
2025-03-21,CUS-1067,,Fashion,,0.11,35.42,TXN-224,Cancelled
2025-04-28,CUS-1057,France,Beauty,1644.03,0.18,41.77,TXN-237,Delivered
2024-09-26,CUS-1074,Canada,Sports,792.22,0.08,90.47,TXN-438,Cancelled
2024-12-16,CUS-1028,France,Home Decor,1762.05,0.15,95.18,TXN-636,Delivered
2024-10-30,CUS-1035,Canada,Home Decor,1742.71,0.17,90.33,TXN-167,Returned
2024-09-27,CUS-1088,France,Fashion,1621.55,0.21,47.75,TXN-672,
2025-03-31,CUS-1020,France,Electronics,1590.56,0.29,80.23,TXN-640,
2025-04-06,CUS-1035,France,Fashion,644.12,0.2,52.87,TXN-482,Returned
2024-08-02,CUS-1009,Canada,Beauty,,0.24,54.78,TXN-118,Returned
2024-09-08,CUS-1072,Canada,Beauty,835.81,0.18,28.42,TXN-782,
2024-07-08,CUS-1023,France,Sports,388.37,0.21,63.2,TXN-549,Returned
2024-10-22,CUS-1063,UK,Sports,,0.07,26.75,TXN-173,Cancelled
2024-07-31,CUS-1098,Germany,Beauty,724.89,0.11,39.84,TXN-672,Delivered
2024-07-26,CUS-1048,Germany,Beauty,1952.44,0.14,86.95,TXN-764,
2024-08-24,CUS-1098,Germany,Beauty,1299.9,0.17,28.64,TXN-375,Returned
2024-12-03,CUS-1035,Canada,Fashion,1653.84,0.06,16.4,TXN-147,Cancelled
2025-01-01,CUS-1081,Canada,Beauty,308.42,0.09,16.21,TXN-310,
2024-02-22,CUS-1095,UK,Home Decor,1730.93,0.12,94.67,TXN-954,Returned
2024-10-06,CUS-1023,Germany,Electronics,1849.38,0.29,55.62,TXN-750,
2025-02-13,CUS-1022,Germany,Beauty,999.77,0.13,46.85,TXN-721,Returned
2024-08-04,CUS-1061,France,Electronics,1232.19,0.17,82.98,TXN-794,
2024-09-08,CUS-1095,Canada,Fashion,1541.38,0.1,85.22,TXN-639,Cancelled
2024-07-06,CUS-1036,Germany,Electronics,390.94,0.2,39.9,TXN-808,Cancelled
2025-01-14,CUS-1011,,Fashion,1030.0,0.12,72.43,TXN-290,Delivered
2025-05-07,CUS-1054,UK,Home Decor,827.39,0.1,79.4,TXN-414,
2024-02-10,CUS-1012,,,335.43,0.18,68.92,TXN-662,Delivered
2024-06-05,CUS-1022,,,766.69,0.05,23.64,TXN-760,
2024-01-15,CUS-1088,UK,Sports,182.94,0.05,88.83,TXN-879,Returned
2024-10-27,CUS-1098,,Beauty,100.33,0.1,58.52,TXN-661,Returned
2024-03-05,CUS-1029,Germany,Beauty,313.57,0.06,35.42,TXN-857,Delivered
2024-12-10,CUS-1016,Canada,Home Decor,1928.07,0.08,48.27,TXN-212,
2024-11-22,CUS-1061,UK,Home Decor,1121.58,0.13,13.38,TXN-269,Delivered
2024-01-09,CUS-1083,France,Beauty,1933.35,0.25,21.51,TXN-567,Cancelled
2024-12-09,CUS-1088,,Sports,893.37,0.19,78.9,TXN-777,Delivered
2024-05-08,CUS-1085,UK,,658.04,0.18,10.0,TXN-113,Delivered
2025-05-06,CUS-1012,USA,Sports,1036.98,0.12,47.49,TXN-814,Returned
2024-05-15,CUS-1058,USA,Home Decor,907.05,0.28,57.03,TXN-387,Delivered
2025-04-16,CUS-1018,Canada,Electronics,256.05,0.15,14.92,TXN-288,
2024-03-03,CUS-1048,Germany,Home Decor,1299.61,0.07,97.58,TXN-254,Returned
2024-05-18,CUS-1099,Canada,Home Decor,471.27,0.2,30.35,TXN-666,Delivered
2025-05-13,CUS-1011,Canada,Fashion,1258.2,0.08,37.38,TXN-793,Cancelled
2024-03-21,CUS-1060,Canada,Fashion,1317.89,0.14,37.35,TXN-821,Delivered
2025-01-26,CUS-1018,Canada,Fashion,346.45,0.18,30.74,TXN-987,Delivered
2024-06-11,CUS-1075,France,Fashion,169.63,0.27,10.13,TXN-570,Delivered
2025-02-22,CUS-1008,France,Sports,1572.49,0.17,75.64,TXN-174,Returned
2024-10-15,CUS-1070,UK,Beauty,946.61,0.23,97.02,TXN-376,
2025-01-13,CUS-1027,USA,Electronics,163.42,0.3,30.19,TXN-744,Cancelled
2024-09-17,CUS-1077,Canada,Home Decor,1989.99,0.08,69.67,TXN-442,Delivered
2025-05-04,CUS-1094,UK,Sports,162.67,0.12,76.77,TXN-524,
2024-08-18,CUS-1051,USA,Electronics,1405.32,0.15,86.36,TXN-670,
2024-02-10,CUS-1082,,Sports,1968.17,0.16,48.04,TXN-610,Returned
2024-01-28,CUS-1015,Germany,Sports,516.4,0.15,37.26,TXN-956,Cancelled
2024-05-14,CUS-1068,France,Home Decor,327.39,0.28,39.28,TXN-281,Returned
2024-07-19,CUS-1098,,Beauty,286.7,0.23,74.14,TXN-557,
2024-11-23,CUS-1011,USA,Fashion,641.39,0.2,83.51,TXN-950,
2024-09-24,CUS-1024,,Beauty,247.04,0.13,26.35,TXN-932,
2025-02-21,CUS-1051,Germany,Home Decor,1399.71,0.26,43.38,TXN-163,Returned
2024-02-02,CUS-1084,USA,,171.47,0.29,91.17,TXN-938,Cancelled
2024-02-17,CUS-1099,,Home Decor,1043.37,0.26,82.6,TXN-359,Delivered
2025-02-10,CUS-1052,France,Electronics,1993.56,0.05,98.64,TXN-292,Returned
2024-03-02,CUS-1022,France,Beauty,1637.24,0.21,77.88,TXN-754,
2024-08-03,CUS-1015,UK,Beauty,1249.68,0.06,45.39,TXN-715,Returned
2024-10-19,CUS-1056,,Sports,647.19,0.11,63.16,TXN-505,
2024-04-08,CUS-1038,Canada,Sports,1266.6,0.06,69.49,TXN-825,Delivered
2024-06-20,CUS-1052,,Sports,1077.73,0.2,17.06,TXN-853,Delivered
2024-12-25,CUS-1041,USA,Home Decor,880.86,0.22,59.0,TXN-820,Cancelled
2024-08-01,CUS-1057,USA,Beauty,304.89,0.08,73.84,TXN-192,
2025-04-19,CUS-1038,,,1778.88,0.15,25.06,TXN-529,Cancelled
2024-02-04,CUS-1013,Germany,Electronics,927.08,0.16,80.26,TXN-753,Cancelled
2025-03-24,CUS-1094,France,Sports,429.51,0.14,62.54,TXN-533,Delivered
2024-08-14,CUS-1004,USA,Home Decor,767.13,0.08,95.7,TXN-503,Returned
2024-04-10,CUS-1034,France,Home Decor,857.55,0.15,13.82,TXN-533,Returned
2025-03-06,CUS-1086,USA,Electronics,1663.7,0.24,33.88,TXN-211,Cancelled
2025-04-06,CUS-1092,UK,Fashion,1480.55,0.07,64.14,TXN-474,Delivered
2024-05-10,CUS-1074,Canada,Beauty,1550.14,0.07,36.69,TXN-158,
2024-09-13,CUS-1017,USA,Fashion,71.51,0.14,74.3,TXN-142,Returned
2024-01-05,CUS-1075,France,Sports,,0.29,78.31,TXN-306,Cancelled
2024-08-05,CUS-1008,UK,Home Decor,988.62,0.22,19.23,TXN-879,Returned
2024-09-11,CUS-1073,USA,Electronics,87.42,0.22,56.25,TXN-395,Returned
2025-02-01,CUS-1057,Germany,Electronics,556.64,0.14,55.8,TXN-217,
2024-12-24,CUS-1016,Canada,Beauty,1532.57,0.2,43.24,TXN-631,Delivered
2024-10-09,CUS-1006,USA,Fashion,317.36,0.05,93.96,TXN-321,
2025-01-27,CUS-1045,UK,Beauty,1093.85,0.21,84.48,TXN-265,Delivered
2024-07-25,CUS-1012,Germany,Home Decor,469.64,0.28,72.75,TXN-742,Returned
2024-01-15,CUS-1039,,Beauty,73.64,0.2,74.29,TXN-255,Cancelled
2024-12-11,CUS-1041,UK,Electronics,520.34,0.27,51.55,TXN-283,
2024-02-11,CUS-1008,UK,Electronics,1952.95,0.23,92.89,TXN-189,Delivered
2025-01-14,CUS-1049,Germany,Sports,1613.0,0.08,72.51,TXN-193,Returned
2025-04-05,CUS-1026,UK,Sports,1921.17,0.28,75.61,TXN-112,Delivered
2024-06-27,CUS-1065,Germany,Home Decor,1001.32,0.07,87.55,TXN-933,Delivered
2024-03-03,CUS-1004,USA,Fashion,263.99,0.18,34.67,TXN-904,Delivered
2024-12-17,CUS-1028,Germany,Beauty,1118.52,0.09,82.64,TXN-841,Returned
2024-08-18,CUS-1036,Germany,Home Decor,936.04,0.05,27.57,TXN-933,Cancelled
2024-08-28,CUS-1037,Canada,Sports,1696.5,0.16,41.08,TXN-903,Cancelled
2024-02-21,CUS-1082,Germany,Beauty,241.26,0.12,40.2,TXN-537,Cancelled
2024-04-05,CUS-1007,Germany,Sports,1002.07,0.17,98.07,TXN-637,Delivered
2025-01-22,CUS-1064,,Beauty,342.59,0.19,87.09,TXN-686,Returned
2024-08-09,CUS-1085,USA,Fashion,683.12,0.06,73.11,TXN-975,Delivered
2025-04-29,CUS-1016,Canada,Home Decor,1487.85,0.08,75.44,TXN-910,Cancelled
2025-02-10,CUS-1070,,Beauty,978.24,0.19,60.59,TXN-249,Cancelled
2024-08-18,CUS-1088,France,Electronics,782.98,0.14,95.24,TXN-759,Returned
2024-08-24,CUS-1044,USA,Electronics,819.23,0.23,54.66,TXN-107,Delivered
2024-05-22,CUS-1003,USA,Beauty,945.92,0.21,44.25,TXN-128,
2024-06-19,CUS-1035,France,Beauty,1580.78,0.26,24.67,TXN-395,
2024-01-29,CUS-1069,Germany,Beauty,1789.57,0.22,80.76,TXN-820,Cancelled
2024-02-05,CUS-1030,,Electronics,1912.9,0.16,76.1,TXN-739,Returned
2024-01-13,CUS-1018,UK,Electronics,1584.46,0.22,44.59,TXN-439,Delivered
2024-06-08,CUS-1060,Canada,Beauty,665.04,0.12,12.27,TXN-727,Delivered
2024-11-22,CUS-1053,UK,Sports,1391.86,0.13,85.51,TXN-538,Cancelled
2024-07-05,CUS-1038,France,Sports,903.33,0.25,11.03,TXN-243,Cancelled
2024-08-30,CUS-1090,USA,Fashion,546.61,0.16,73.33,TXN-929,Delivered
2024-03-26,CUS-1073,USA,Home Decor,1689.7,0.25,97.32,TXN-846,Delivered
2024-10-10,CUS-1089,Canada,Sports,124.93,0.26,49.39,TXN-618,Cancelled
2024-03-06,CUS-1018,USA,,1808.44,0.26,31.15,TXN-144,Delivered
2024-06-18,CUS-1038,USA,Sports,949.88,0.28,73.44,TXN-338,
2024-02-14,CUS-1066,Canada,Fashion,1292.54,0.16,83.54,TXN-254,Cancelled
2024-03-02,CUS-1044,,Fashion,1335.74,0.13,59.18,TXN-280,Delivered
2025-03-16,CUS-1012,,Home Decor,1795.48,0.2,97.03,TXN-314,Cancelled
2024-05-13,CUS-1091,Canada,Sports,1291.51,0.14,14.65,TXN-187,Returned
2024-10-10,CUS-1057,France,Electronics,1247.17,0.2,55.43,TXN-355,Cancelled
2024-01-28,CUS-1019,USA,Electronics,179.97,0.23,74.66,TXN-610,Cancelled
2024-04-17,CUS-1091,USA,Beauty,1060.9,0.22,87.64,TXN-172,Returned
2024-02-13,CUS-1071,France,Electronics,342.83,0.14,26.13,TXN-278,
2024-12-05,CUS-1060,,Home Decor,1488.0,0.09,82.0,TXN-311,Delivered
2024-10-12,CUS-1038,Germany,,1048.83,0.16,59.74,TXN-904,Returned
2025-03-21,CUS-1000,Germany,Electronics,1376.44,0.09,45.69,TXN-333,Cancelled
2024-11-26,CUS-1002,Germany,Electronics,131.26,0.27,21.85,TXN-564,Delivered
2024-05-07,CUS-1076,,Beauty,215.34,0.14,87.88,TXN-850,Returned
2024-12-13,CUS-1091,,Electronics,1446.83,0.09,24.15,TXN-322,Delivered
2025-04-17,CUS-1061,France,Beauty,190.56,0.06,37.88,TXN-730,Delivered
2024-08-18,CUS-1062,USA,Beauty,188.95,0.21,36.1,TXN-924,Returned
2024-07-08,CUS-1024,France,Electronics,73.61,0.21,88.43,TXN-363,Delivered
2024-08-12,CUS-1055,France,Fashion,1915.18,0.14,70.54,TXN-306,
2025-01-19,CUS-1032,,Fashion,1488.14,0.07,81.7,TXN-706,Returned
2025-01-11,CUS-1037,Germany,Beauty,738.84,0.15,32.54,TXN-984,
2024-10-09,CUS-1005,UK,,628.24,0.13,66.24,TXN-833,Cancelled
2025-03-21,CUS-1057,USA,Fashion,731.92,0.22,61.46,TXN-465,Delivered
2024-04-30,CUS-1043,,Electronics,1560.57,0.2,84.95,TXN-375,Cancelled
2024-04-25,CUS-1044,Germany,Electronics,1339.67,0.14,91.55,TXN-479,Cancelled
2025-04-05,CUS-1031,UK,Electronics,411.13,0.1,11.09,TXN-842,Delivered
2024-08-20,CUS-1044,UK,Sports,389.51,0.3,70.66,TXN-408,Returned
2024-09-15,CUS-1060,,Electronics,241.87,0.16,14.67,TXN-730,Delivered
2024-12-24,CUS-1046,Canada,Sports,1337.59,0.22,59.4,TXN-367,Cancelled
2024-07-16,CUS-1020,USA,Beauty,1540.53,0.09,35.89,TXN-884,Cancelled
2025-03-31,CUS-1079,UK,,566.84,0.17,37.61,TXN-163,Returned
2025-02-14,CUS-1084,,Fashion,90.84,0.06,41.77,TXN-909,Delivered
2024-05-16,CUS-1074,,Fashion,210.23,0.18,65.92,TXN-449,Cancelled
2024-11-13,CUS-1035,Germany,Fashion,1937.33,0.29,40.06,TXN-593,
2024-06-13,CUS-1098,Canada,Fashion,626.12,0.15,75.94,TXN-622,Cancelled
2024-08-12,CUS-1018,USA,Fashion,1549.99,0.06,46.41,TXN-197,Cancelled
2024-11-02,CUS-1019,France,Fashion,1268.09,0.06,16.15,TXN-170,Returned
2024-08-21,CUS-1056,Germany,Beauty,794.78,0.15,80.54,TXN-463,
2024-06-20,CUS-1017,UK,Electronics,,0.09,35.72,TXN-669,Cancelled
2024-05-31,CUS-1046,UK,Home Decor,286.7,0.06,48.95,TXN-901,Cancelled
2025-04-07,CUS-1048,Germany,Sports,1249.28,0.24,71.69,TXN-862,
2024-11-10,CUS-1013,,Home Decor,1560.54,0.16,39.92,TXN-375,Delivered
2025-01-08,CUS-1014,UK,Home Decor,1305.61,0.12,15.09,TXN-149,Delivered
2024-06-08,CUS-1030,Canada,Electronics,1084.09,0.28,43.65,TXN-457,Cancelled
2024-04-05,CUS-1000,USA,Electronics,131.8,0.08,95.0,TXN-827,Cancelled
2025-04-16,CUS-1053,Canada,Electronics,1938.55,0.29,67.76,TXN-663,Delivered
2024-08-20,CUS-1002,UK,Fashion,1607.49,0.13,70.43,TXN-882,Returned
2024-06-28,CUS-1015,France,Beauty,621.0,0.27,66.91,TXN-584,
2024-04-22,CUS-1086,USA,Fashion,1960.94,0.2,27.91,TXN-183,
2024-11-13,CUS-1056,USA,Beauty,1223.67,0.26,47.65,TXN-998,Returned
2025-05-11,CUS-1074,Germany,Beauty,1185.72,0.3,77.58,TXN-904,Returned
2025-03-17,CUS-1011,Germany,Home Decor,1508.74,0.12,19.12,TXN-737,Returned
2024-02-21,CUS-1073,France,Home Decor,1632.95,0.29,35.01,TXN-907,Returned
2024-09-24,CUS-1095,,Beauty,1330.13,0.15,34.87,TXN-683,Returned
2024-10-21,CUS-1015,USA,Beauty,299.79,0.15,48.88,TXN-395,Returned
2025-01-20,CUS-1071,France,Fashion,709.62,0.14,98.23,TXN-335,
2025-01-21,CUS-1075,Germany,Fashion,1859.76,0.19,16.08,TXN-155,Returned
2024-04-22,CUS-1023,Germany,Home Decor,488.0,0.09,56.68,TXN-459,Delivered
2024-04-10,CUS-1027,USA,Electronics,775.73,0.19,26.14,TXN-209,Returned
2024-04-22,CUS-1007,Canada,Beauty,892.55,0.19,97.36,TXN-291,Returned
2025-03-15,CUS-1091,UK,Fashion,906.84,0.24,20.2,TXN-192,
2024-03-21,CUS-1035,Germany,Home Decor,1245.23,0.26,46.32,TXN-961,
2024-07-05,CUS-1089,,Fashion,1889.0,0.16,76.41,TXN-667,Returned
2024-04-22,CUS-1007,,Beauty,519.35,0.13,73.41,TXN-159,
2024-01-02,CUS-1057,Germany,Beauty,286.93,0.11,48.05,TXN-749,Cancelled
2024-05-09,CUS-1059,Canada,Sports,435.07,0.1,41.19,TXN-138,
2024-08-07,CUS-1049,Canada,Electronics,1779.5,0.06,45.79,TXN-639,
2024-02-23,CUS-1027,France,Sports,1309.33,0.14,33.78,TXN-148,
2024-12-08,CUS-1091,,Home Decor,607.52,0.12,28.48,TXN-519,
2025-04-29,CUS-1040,France,Fashion,1641.1,0.29,53.47,TXN-736,Delivered
2024-08-11,CUS-1099,,Home Decor,1729.67,0.19,34.17,TXN-112,Delivered
2024-08-12,CUS-1063,UK,Beauty,1700.7,0.14,35.87,TXN-135,Delivered
2025-01-19,CUS-1026,UK,Sports,1841.91,0.2,69.11,TXN-200,Returned
2025-02-06,CUS-1062,USA,Sports,541.87,0.08,97.17,TXN-893,Returned
2024-05-05,CUS-1016,France,Sports,,0.16,64.33,TXN-185,Cancelled
2024-05-09,CUS-1072,Germany,Home Decor,948.05,0.21,16.93,TXN-615,Delivered
2024-02-22,CUS-1032,France,Beauty,1691.9,0.17,16.8,TXN-322,Returned
2024-06-20,CUS-1083,Germany,Fashion,1470.56,0.15,95.63,TXN-437,
2024-08-05,CUS-1076,Canada,Fashion,1564.07,0.3,36.76,TXN-265,
2024-06-08,CUS-1091,France,,1329.52,0.27,18.29,TXN-482,Delivered
2024-07-16,CUS-1028,Canada,Sports,395.99,0.21,63.91,TXN-955,Cancelled
2025-02-19,CUS-1012,UK,,1112.8,0.19,66.13,TXN-994,Cancelled
2024-09-03,CUS-1045,UK,Home Decor,1970.11,0.21,68.37,TXN-475,
2024-11-19,CUS-1034,USA,Home Decor,1877.91,0.1,34.07,TXN-570,Cancelled
2025-03-14,CUS-1005,France,Beauty,134.19,0.15,11.36,TXN-889,Delivered
2024-07-21,CUS-1081,Canada,Fashion,371.39,0.06,96.85,TXN-741,
2024-07-02,CUS-1068,Germany,Home Decor,306.87,0.17,32.58,TXN-130,Returned
2024-05-02,CUS-1046,UK,Home Decor,1465.66,0.19,70.84,TXN-474,Returned
2025-02-04,CUS-1024,UK,,1644.68,0.11,73.6,TXN-110,Cancelled
2024-09-11,CUS-1065,Germany,Sports,466.35,0.29,64.9,TXN-401,
2024-10-20,CUS-1009,Canada,Electronics,1036.41,0.28,38.16,TXN-195,
2024-10-06,CUS-1055,Canada,Beauty,1689.37,0.23,34.4,TXN-289,Returned
2024-11-20,CUS-1029,France,Electronics,1478.96,0.18,63.79,TXN-552,
2025-01-06,CUS-1004,France,Sports,1107.36,0.27,87.95,TXN-291,
2024-04-07,CUS-1032,,Fashion,1201.18,0.08,95.21,TXN-585,
2024-07-16,CUS-1064,,,1041.3,0.25,19.53,TXN-365,Cancelled
2025-04-14,CUS-1017,USA,Beauty,630.22,0.08,23.93,TXN-523,
2025-01-29,CUS-1095,UK,Sports,1151.79,0.25,95.03,TXN-227,Delivered
2024-08-27,CUS-1048,France,Beauty,,0.12,76.29,TXN-337,Cancelled
2024-05-23,CUS-1010,Canada,Beauty,1752.98,0.27,89.47,TXN-454,
2024-04-06,CUS-1084,Germany,Beauty,1290.77,0.29,28.24,TXN-211,
